title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
12SWITCH,2017-03-03,,,,PARTY,NINTENDO SWITCH,NINTENDO,NINTENDO,RATED E +10 FOR EVERYONE +10,4.9,476.0
13 SENTINELS AEGIS RIM,2020-09-22,,,,ADVENTURE,PLAYSTATION 4,VANILLAWARE,SEGA,RATED T FOR TEEN,9.0,417.0
13 SENTINELS: AEGIS RIM,2019-11-28,TEEN,114.0,86.0,,,,,,,
140,2013-10-15,,88.0,80.0,,,,,,,
140,2020-01-09,,,,2D PLATFORMER,PC,JEPPE CARLSEN,JEPPE CARLSEN,RATED E FOR EVERYONE,0.0,0.0
"150,000 B.C.",2018-05-30,,16.0,,,,,,,,
1503 AD  THE NEW WORLD,2003-03-23,,,,REAL-TIME STRATEGY,PC,SUNFLOWERS INTERACTIVE,ELECTRONIC ARTS,RATED T FOR TEEN,6.9,15.0
16 BIT ARENA,2015-03-24,,3.0,,,,,,,,
16BIT TRADER,2012-07-31,EVERYONE,40.0,,,,,,,,
1701 AD,2006-11-06,,,,REAL-TIME STRATEGY,PC,RELATED DESIGNS,ASPYR,RATED E +10 FOR EVERYONE +10,7.8,32.0
18 WHEELER AMERICAN PRO TRUCKER,2002-02-20,,,,AUTO RACING,DREAMCAST,ACCLAIM STUDIOS CHELTENHAM,ACCLAIM,RATED E FOR EVERYONE,4.5,0.0
18 WHEELS OF STEEL: AMERICAN LONG HAUL,2007-12-02,,14.0,,,,,,,,
18 WHEELS OF STEEL: EXTREME TRUCKER,2009-09-22,,11.0,,,,,,,,
187 RIDE OR DIE,2005-08-24,,,,VEHICLE COMBAT SIM,PLAYSTATION 2,UBISOFT PARIS,UBISOFT,RATED M FOR MATURE,0.0,0.0
1942 FIRST STRIKE,2010-07-01,,,,VERTICAL SHOOT-'EM-UP,IOS (IPHONE/IPAD),CAPCOM,CAPCOM,,0.0,0.0
1942 JOINT STRIKE,2008-07-23,,,,VERTICAL SHOOT-'EM-UP,XBOX 360,BACKBONE ENTERTAINMENT,CAPCOM,RATED E +10 FOR EVERYONE +10,5.9,15.0
1950S LAWN MOWER KIDS,2011-11-03,,,,ACTION PUZZLE,DS,ZORDIX,ZORDIX,RATED E FOR EVERYONE,0.0,0.0
1953 - KGB UNLEASHED,2010-03-04,,43.0,,,,,,,,
1954 ALCATRAZ,2014-03-11,,54.0,,,,,,,,
1954 ALCATRAZ,2014-03-11,,,,POINT-AND-CLICK,PC,DAEDALIC ENTERTAINMENT,DAEDALIC ENTERTAINMENT,,6.3,44.0
1979 REVOLUTION BLACK FRIDAY,2016-04-04,,,,ADVENTURE,IOS (IPHONE/IPAD),INK STORIES,INK STORIES,,7.5,85.0
1979 REVOLUTION: BLACK FRIDAY,2016-04-04,,45.0,80.0,,,,,,,
1982,2017-06-28,,11.0,,,,,,,,
198X,2019-06-19,,44.0,67.0,,,,,,,
198X,2019-06-20,,,,PARTY,PLAYSTATION 4,HI-BIT STUDIOS,HI-BIT STUDIOS,,6.1,27.0
1993 SPACE MACHINE,2016-03-28,,7.0,,,,,,,,
1BIT NINJA,2011-06-23,,,,2D PLATFORMER,IOS (IPHONE/IPAD),KODE80 LLC,KODE80 LLC,,0.0,0.0
1BITHEART,2017-08-28,,12.0,,,,,,,,
1NSANE,2001-02-05,,,,AUTO RACING SIM,PC,INVICTUS,CODEMASTERS,RATED E FOR EVERYONE,7.2,24.0
1QUEST,2014-12-03,,7.0,,,,,,,,
20 MINUTES TILL DAWN,2022-06-07,TEEN,74.0,,,,,,,,
200% MIXED JUICE!,2015-10-23,,45.0,,,,,,,,
2002 FIFA WORLD CUP,2002-04-22,,,,SOCCER SIM,PLAYSTATION 2,EA SPORTS,EA SPORTS,RATED E FOR EVERYONE,5.4,10.0
2006 FIFA WORLD CUP,2006-04-24,EVERYONE 10+,52.0,,,,,,,,
2010 FIFA WORLD CUP,2010-03-29,EVERYONE,55.0,,,,,,,,
2010 FIFA WORLD CUP SOUTH AFRICA,2010-04-27,,,,SOCCER SIM,XBOX 360,ELECTRONIC ARTS,EA SPORTS,RATED E FOR EVERYONE,8.4,40.0
2014 FIFA WORLD CUP BRAZIL,2014-04-15,,,,SOCCER SIM,XBOX 360,EA CANADA,EA SPORTS,RATED E FOR EVERYONE,4.9,106.0
2064 READ ONLY MEMORIES,2017-01-17,,,,POINT-AND-CLICK,PC,MIDBOSS,MIDBOSS,RATED M FOR MATURE,3.4,555.0
2064 READ ONLY MEMORIES INTEGRAL,2018-07-26,,,,POINT-AND-CLICK,NINTENDO SWITCH,MIDBOSS,MIDBOSS,RATED M FOR MATURE,6.5,15.0
2064: READ ONLY MEMORIES,2015-10-05,MATURE,135.0,,,,,,,,
20XX,2014-11-25,EVERYONE 10+,61.0,,,,,,,,
20XX,2018-07-10,,,,2D PLATFORMER,PLAYSTATION 4,BATTERYSTAPLE GAMES,BATTERYSTAPLE GAMES,RATED E +10 FOR EVERYONE +10,7.0,19.0
24 HOURS,2016-09-13,,18.0,,,,,,,,
24 HOURS 'TIL RESCUE,2016-02-19,,2.0,,,,,,,,
24 THE GAME,2006-02-28,,,,ACTION ADVENTURE,PLAYSTATION 2,SCE STUDIO CAMBRIDGE,2K GAMES,RATED M FOR MATURE,7.6,27.0
25 TO LIFE,2006-01-17,,,,THIRD PERSON SHOOTER,PLAYSTATION 2,AVALANCHE SOFTWARE,EIDOS INTERACTIVE,RATED M FOR MATURE,5.1,22.0
2BIT COWBOY,2014-05-08,,,,2D PLATFORMER,IOS (IPHONE/IPAD),,,,0.0,0.0
2DARK,2017-03-09,MATURE,11.0,68.0,,,,,,,
2DARK,2017-03-10,,,,ACTION ADVENTURE,PC,GLOOMYWOOD,GLOOMYWOOD,RATED M FOR MATURE,7.4,30.0
2K DRIVE,2013-09-05,,,,AUTO RACING SIM,IOS (IPHONE/IPAD),2K SPORTS,2K SPORTS,,0.0,0.0
3 ON 3 NHL ARCADE,2009-02-05,EVERYONE,22.0,,,,,,,,
3 ON 3 NHL ARCADE,2009-02-11,,,,HOCKEY,PLAYSTATION 3,EA CANADA,ELECTRONIC ARTS,RATED E FOR EVERYONE,6.8,20.0
3 OUT OF 10: SEASON ONE,2020-08-06,,19.0,79.0,,,,,,,
3 STARS OF DESTINY,2014-03-28,,6.0,,,,,,,,
30 IMPOSSIBLE LEVELS,2016-04-25,,14.0,,,,,,,,
