title,released,rating,ratings_count,genres,platforms
METROID DREAD,2021-10-08,RATED T FOR TEEN,2925,METROIDVANIA,NINTENDO SWITCH
METROID FUSION,2002-11-17,RATED E FOR EVERYONE,183,ACTION,GAME BOY ADVANCE
METROID FUSION,2002-11-17,RATED E FOR EVERYONE,441,METROIDVANIA,GAME BOY ADVANCE
METROID OTHER M,2010-08-31,RATED T FOR TEEN,44,ACTION,WII U
METROID OTHER M,2010-08-31,RATED T FOR TEEN,665,ACTION ADVENTURE,WII
METROID PRIME,2002-11-17,RATED T FOR TEEN,1441,FPS,GAMECUBE
METROID PRIME 2 ECHOES,2004-11-15,RATED T FOR TEEN,443,FPS,GAMECUBE
METROID PRIME 3 CORRUPTION,2007-08-27,RATED T FOR TEEN,54,ACTION,WII
METROID PRIME 3 CORRUPTION,2007-08-27,RATED T FOR TEEN,460,FPS,WII
METROID PRIME FEDERATION FORCE,2016-08-19,RATED T FOR TEEN,278,FPS,3DS
METROID PRIME HUNTERS,2006-03-20,RATED T FOR TEEN,178,FPS,DS
METROID PRIME PINBALL,2005-10-24,RATED E FOR EVERYONE,31,PINBALL,DS
METROID PRIME REMASTERED,2023-02-08,RATED T FOR TEEN,52,ACTION,NINTENDO SWITCH
METROID PRIME REMASTERED,2023-02-08,RATED T FOR TEEN,1241,FPS,NINTENDO SWITCH
METROID PRIME TRILOGY,2009-08-24,RATED T FOR TEEN,498,COMPILATION,WII
METROID SAMUS RETURNS,2017-09-15,RATED E +10 FOR EVERYONE +10,661,METROIDVANIA,3DS
METROID ZERO MISSION,2004-02-09,RATED E FOR EVERYONE,195,ACTION,GAME BOY ADVANCE
METROID ZERO MISSION,2004-02-09,RATED E FOR EVERYONE,409,METROIDVANIA,GAME BOY ADVANCE
METROPOLIS LUX OBSCURA,2017-09-22,RATED M FOR MATURE,24,ADVENTURE,XBOX ONE
METROPOLIS STREET RACER,2001-01-15,RATED E FOR EVERYONE,36,AUTO RACING SIM,DREAMCAST
MIAMI LAW,2009-06-09,RATED T FOR TEEN,0,ADVENTURE,DS
MIAMI VICE THE GAME,2006-07-18,RATED M FOR MATURE,10,THIRD PERSON SHOOTER,PSP
MICHAEL JACKSON THE EXPERIENCE,2010-11-23,RATED E +10 FOR EVERYONE +10,51,DANCING,PLAYSTATION 3
MICHAEL PHELPS PUSH THE LIMIT,2011-10-11,RATED E FOR EVERYONE,7,ATHLETICS,XBOX 360
MICKEY'S SPEEDWAY USA,2000-11-13,RATED E FOR EVERYONE,26,AUTO RACING,NINTENDO 64
MICRO MACHINES V4,2006-06-27,RATED E FOR EVERYONE,8,AUTO RACING,PLAYSTATION 2
MICRO MACHINES WORLD SERIES,2017-06-30,RATED E +10 FOR EVERYONE +10,38,AUTO RACING,XBOX ONE
MICROBOT,2010-12-29,RATED E FOR EVERYONE,10,TOP-DOWN SHOOT-'EM-UP,PLAYSTATION 3
MICROSOFT FLIGHT,2012-02-29,RATED E FOR EVERYONE,105,AIRCRAFT COMBAT SIM,PC
MICROSOFT FLIGHT,2012-02-29,RATED E FOR EVERYONE,17,SIMULATION,PC
MICROSOFT FLIGHT SIMULATOR,2020-08-18,RATED E FOR EVERYONE,1447,AIRCRAFT SIM,XBOX SERIES X
