title,released,rating,ratings_count,genres,platforms
198X,2019-06-20,,27,PARTY,PLAYSTATION 4
1993 SPACE MACHINE,2016-03-28,,7,ACTION,MACOS
1BIT NINJA,2011-06-23,,0,2D PLATFORMER,IOS (IPHONE/IPAD)
1BITHEART,2017-08-28,,12,ADVENTURE,PC
1NSANE,2001-02-05,RATED E FOR EVERYONE,24,AUTO RACING SIM,PC
1QUEST,2014-12-03,,7,RPG,PC
20 MINUTES TILL DAWN,2022-06-07,RATED T FOR TEEN,74,ACTION,PC
200% MIXED JUICE!,2015-10-23,,45,ADVENTURE,PC
2002 FIFA WORLD CUP,2002-04-22,RATED E FOR EVERYONE,10,SOCCER SIM,PLAYSTATION 2
2006 FIFA WORLD CUP,2006-04-24,,52,SPORTS,GAMECUBE
2010 FIFA WORLD CUP,2010-03-29,RATED E FOR EVERYONE,55,SPORTS,PSP
2010 FIFA WORLD CUP SOUTH AFRICA,2010-04-27,RATED E FOR EVERYONE,40,SOCCER SIM,XBOX 360
2014 FIFA WORLD CUP BRAZIL,2014-04-15,RATED E FOR EVERYONE,106,SOCCER SIM,XBOX 360
2064 READ ONLY MEMORIES,2015-10-05,RATED M FOR MATURE,135,ADVENTURE,XBOX ONE
2064 READ ONLY MEMORIES,2017-01-17,RATED M FOR MATURE,555,POINT-AND-CLICK,PC
2064 READ ONLY MEMORIES INTEGRAL,2018-07-26,RATED M FOR MATURE,15,POINT-AND-CLICK,NINTENDO SWITCH
20XX,2014-11-25,,61,ACTION,NINTENDO SWITCH
20XX,2018-07-10,RATED E +10 FOR EVERYONE +10,19,2D PLATFORMER,PLAYSTATION 4
24 HOURS,2016-09-13,,18,ACTION,PC
24 HOURS TIL RESCUE,2016-02-19,,2,ACTION,PC
24 THE GAME,2006-02-28,RATED M FOR MATURE,27,ACTION ADVENTURE,PLAYSTATION 2
25 TO LIFE,2006-01-17,RATED M FOR MATURE,22,THIRD PERSON SHOOTER,PLAYSTATION 2
2BIT COWBOY,2014-05-08,,0,2D PLATFORMER,IOS (IPHONE/IPAD)
2DARK,2017-03-09,RATED M FOR MATURE,11,ADVENTURE,PLAYSTATION 4
2DARK,2017-03-10,RATED M FOR MATURE,30,ACTION ADVENTURE,PC
2K DRIVE,2013-09-05,,0,AUTO RACING SIM,IOS (IPHONE/IPAD)
3 ON 3 NHL ARCADE,2009-02-05,RATED E FOR EVERYONE,22,SPORTS,XBOX 360
3 ON 3 NHL ARCADE,2009-02-11,RATED E FOR EVERYONE,20,HOCKEY,PLAYSTATION 3
3 OUT OF 10 SEASON ONE,2020-08-06,,19,ADVENTURE,XBOX ONE
3 STARS OF DESTINY,2014-03-28,,6,ADVENTURE,PC
30 IMPOSSIBLE LEVELS,2016-04-25,,14,ACTION,PC
300 MARCH TO GLORY,2007-02-27,RATED M FOR MATURE,27,3D BEAT-'EM-UP,PSP
3000TH DUEL,2020-02-19,RATED E +10 FOR EVERYONE +10,64,2D PLATFORMER,NINTENDO SWITCH
3000TH DUEL,2020-02-19,,4,ACTION,NINTENDO SWITCH
3079,2011-10-23,,8,ACTION,PC
3089  FUTURISTIC ACTION RPG,2014-01-10,,11,ACTION,PC
30XX,2023-08-09,,7,2D PLATFORMER,NINTENDO SWITCH
35MM,2016-05-27,,106,INDIE,PC
36 FRAGMENTS OF MIDNIGHT,2017-08-07,,26,ACTION,NINTENDO SWITCH
39 DAYS TO MARS,2018-04-25,,10,ACTION PUZZLE,PC
3D AFTER BURNER II,2015-01-15,RATED E +10 FOR EVERYONE +10,22,AIRCRAFT COMBAT SIM,3DS
3D DOT GAME HEROES,2009-11-05,,35,ACTION,PLAYSTATION 3
3D DOT GAME HEROES,2010-05-11,RATED E +10 FOR EVERYONE +10,82,ACTION RPG,PLAYSTATION 3
3D GIRL CUSTOM EVOLUTION,2013-11-15,RATED AO FOR ADULTS ONLY,33,SIMULATION,PC
3D PINBALL SPACE CADET,1995-01-01,,80,ACTION,PC
3D ULTRA MINIGOLF,2010-01-06,RATED E FOR EVERYONE,19,SPORTS,XBOX 360
3D ULTRA MINIGOLF ADVENTURES,2007-04-18,RATED E FOR EVERYONE,13,GOLF,PC
3DMARK,,,153,,PC
3DRPG,2016-01-12,,2,ADVENTURE,PC
3DSUNSHINE,2016-11-01,,1,,PC
3ON3 FREESTYLE,2016-12-06,,70,ACTION,XBOX ONE
3ON3 FREESTYLE REBOUND,2020-07-14,,4,ACTION,PC
3SWITCHED,2012-03-29,,5,CASUAL,MACOS
4 ELEMENTS,2010-07-12,,21,ADVENTURE,NINTENDO DS
404SIGHT,2015-04-16,,24,ACTION,PC
428 SHIBUYA SCRAMBLE,2018-09-04,RATED T FOR TEEN,38,ADVENTURE,PC
428 SHIBUYA SCRAMBLE,2018-09-04,RATED T FOR TEEN,39,VISUAL NOVEL,PC
4PM,2014-07-09,,27,FIRST-PERSON ADVENTURE,PC
4X4 EVO 2,2001-11-15,RATED E FOR EVERYONE,0,AUTO RACING SIM,XBOX
4X4 EVOLUTION,2000-10-29,RATED E FOR EVERYONE,18,AUTO RACING SIM,PLAYSTATION 2
50 CENT BLOOD ON THE SAND,2009-02-24,RATED M FOR MATURE,55,THIRD PERSON SHOOTER,PLAYSTATION 3
50 CENT BOTS,2009-02-24,RATED M FOR MATURE,26,ACTION,XBOX 360
50 CENT BULLETPROOF,2006-08-29,RATED M FOR MATURE,8,ACTION ADVENTURE,PLAYSTATION 2
50 YEARS,2016-08-23,,12,STRATEGY,XBOX ONE
5D CHESS WITH MULTIVERSE TIME TRAVEL,2020-07-22,,14,INDIE,PC
60 PARSECS!,2018-09-17,,55,ACTION,PLAYSTATION 4
60 PARSECS!,2018-09-18,,27,ADVENTURE,PC
60 SECONDS!,2015-05-25,,128,ADVENTURE,XBOX ONE
60 SECONDS! REATOMIZED,2019-07-25,RATED T FOR TEEN,65,ACTION,XBOX ONE
6180 THE MOON,2014-09-19,,22,ACTION,NINTENDO 3DS
640,2017-03-16,RATED E FOR EVERYONE,16,ACTION,NINTENDO SWITCH
6TH PLANET,2011-02-24,,0,ADVENTURE,IOS (IPHONE/IPAD)
7 BILLION HUMANS,2018-08-22,RATED E FOR EVERYONE,62,SIMULATION,NINTENDO SWITCH
7 DAYS TO DIE,2013-12-13,RATED M FOR MATURE,443,SHOOTER,XBOX ONE
7 DAYS TO DIE,2016-06-28,RATED M FOR MATURE,157,SURVIVAL,PLAYSTATION 4
7 GRAND STEPS WHAT ANCIENTS BEGAT,2013-06-07,,20,STRATEGY,PC
7 WONDERS ANCIENT ALIEN MAKEOVER,2012-10-23,,11,STRATEGY,IOS
7 WONDERS II,2007-08-14,,6,ARCADE,NINTENDO DS
7 WONDERS MAGICAL MYSTERY TOUR,2011-10-04,,4,STRATEGY,IOS
7 WONDERS OF THE ANCIENT WORLD,2007-04-23,RATED E FOR EVERYONE,0,MATCHING PUZZLE,IOS (IPHONE/IPAD)
7 WONDERS OF THE ANCIENT WORLD,2007-09-17,RATED E FOR EVERYONE,14,STRATEGY,PLAYSTATION 2
7 WONDERS TREASURES OF SEVEN,2008-11-13,,5,CASUAL,PC
7554,2012-07-20,,90,FPS,PC
762 HIGH CALIBRE,2014-04-30,,20,RPG,PC
7TH DRAGON III CODE VFD,2016-07-12,RATED T FOR TEEN,60,JRPG,3DS
7TH LEGION,1997-09-29,RATED M FOR MATURE,7,ACTION,PC
7TH SECTOR,2019-03-05,RATED T FOR TEEN,28,ADVENTURE,XBOX ONE
80 DAYS,2005-12-12,RATED T FOR TEEN,15,THIRD-PERSON ADVENTURE,PC
