title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
STAR WARS ROGUE LEADER ROGUE SQUADRON II,2001-11-18,FACTOR 5,LUCASARTS,SPACE COMBAT SIM,RATED T FOR TEEN,8.8,134,GAMECUBE
SUPERFROG HD,2013-08-06,TEAM17,TEAM17,2D PLATFORMER,RATED E FOR EVERYONE,6.2,17,PLAYSTATION 3
NCAA MARCH MADNESS 06,2005-10-11,EA CANADA,EA SPORTS,BASKETBALL SIM,RATED E FOR EVERYONE,0.0,0,XBOX
EMERGENCY MAYHEM,2008-04-15,SUPERSONIC SOFTWARE,CODEMASTERS,AUTO RACING,RATED T FOR TEEN,4.3,0,WII
SHATTER,2009-07-23,SIDHE INTERACTIVE,SIDHE INTERACTIVE,ARCADE,RATED E FOR EVERYONE,6.9,32,PLAYSTATION 3
SLY 3 HONOR AMONG THIEVES,2005-09-26,SUCKER PUNCH,SCEA,3D PLATFORMER,RATED E +10 FOR EVERYONE +10,8.9,256,PLAYSTATION 2
AAERO COMPLETE EDITION,2018-12-24,MAD FELLOWS LTD,MAD FELLOWS LTD,RAIL SHOOTER,RATED E +10 FOR EVERYONE +10,8.0,7,NINTENDO SWITCH
MARIO PINBALL LAND,2004-10-04,FUSE GAMES LIMITED,NINTENDO,PINBALL,RATED E FOR EVERYONE,3.9,18,GAME BOY ADVANCE
WEEDCRAFT INC,2019-04-11,VILE MONARCH,DEVOLVER DIGITAL,TYCOON,,6.8,38,PC
AGE OF PIRATES 2 CITY OF ABANDONED SHIPS,2009-05-26,AKELLA,PLAYLOGIC,ACTION RPG,RATED M FOR MATURE,7.7,38,PC
THUNDERCATS,2012-10-30,ASPECT,NAMCO BANDAI GAMES,2D PLATFORMER,RATED E +10 FOR EVERYONE +10,1.8,29,DS
STRIDER 2,2000-07-29,USE,CAPCOM,COMPILATION,RATED E FOR EVERYONE,8.1,19,PLAYSTATION
GARDENING MAMA,2009-03-31,TAITO CORPORATION,MAJESCO,VIRTUAL CAREER,RATED E FOR EVERYONE,8.0,7,DS
DECEPTION IV THE NIGHTMARE PRINCESS,2015-07-14,KOEI TECMO GAMES,KOEI TECMO GAMES,STRATEGY,RATED M FOR MATURE,7.1,37,PLAYSTATION 4
